"run
number",start_run,end_run,"kin
study","beam_on_target
[sec]","evts
replayed","beam
energy
[GeV]",target,"target
mass
[amu]","HMS_P
[GeV/c]","HMS_Angle
[deg]","SHMS_P
[GeV/c]","SHMS_Angle
[deg]","BCM4A
thrs
[uA]","BCM4A
current
[uA]","BCM4A
charge
[mC]","integrated
luminosity
[fb^-1]",lumiNorm_counts[fb],PS1,PS2,PS3,PS5,PS6,"T1
scaler_rates
[kHz]","T2
scaler_rates
[kHz]","T3
scaler_rates
[kHz]","T5
scaler_rates
[kHz]","T6
scaler_rates
[kHz]","T1
accp_rates
[kHz]","T2
accp_rates
[kHz]","T3
accp_rates
[kHz]","T5
accp_rates
[kHz]","T6
accp_rates
[kHz]",T1_tLT,T2_tLT,T3_tLT,T5_tLT,T6_tLT,"HMS
TrkEff","SHMS
TrkEff","heep_singles
counts","heep_singles
rates [Hz]","heep_coin
counts","heep_coin
rates [Hz]","MF_real
counts","MF_real
rates [Hz]","SRC_real
counts","SRC_real
rates [Hz]",simc_counts_goal,"simc_charge_goal
[mC]","simc_integrated
luminosity
[fb^-1]",simc_lumiNorm_counts[fb],Comments
16962,            2022-09-18 16:14:57,           2022-09-18 16:34:35,           heep_coin,         1115.156,          686164,       10.5494,     LH2,        1.007940,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        10.063,         11.222,          30.259,                  3767.9400 ,513,513,5,1,-1,88.377,72.044,0.574,0.221,0.236,0.542,0.510,0.292,0.222,0.225,488.352,488.352,4.760,0.952,nan,0.993,0.997,nan,nan,114013.20,102.240,nan,nan,nan,nan,1500000.000,110.160,297.0421,5049.7897,
16963,            2022-09-18 16:43:38,           2022-09-18 16:55:29,           heep_coin,         618.896,          281773,       10.5494,     LH2,        1.007940,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        10.012,         6.197,          16.709,                  3821.8070 ,513,513,5,1,-1,46.039,36.788,0.571,0.205,0.218,0.372,0.352,0.279,0.205,0.208,491.549,491.549,4.791,0.958,nan,0.994,0.997,nan,nan,63858.00,103.181,nan,nan,nan,nan,1500000.000,110.160,297.0421,5049.7897,
16964,            2022-09-18 16:59:02,           2022-09-18 17:06:46,           heep_coin,         422.077,          154367,       10.5494,     LH2,        1.007940,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        10.011,         4.226,          11.394,                  3814.7430 ,513,513,5,1,-1,27.124,20.813,0.570,0.181,0.193,0.279,0.264,0.260,0.182,0.184,492.275,492.275,4.798,0.960,nan,0.994,0.998,nan,nan,43465.20,102.979,nan,nan,nan,nan,1500000.000,110.160,297.0421,5049.7897,
16965,            2022-09-18 17:11:03,           2022-09-18 17:22:31,           heep_coin,         513.640,          213498,       10.5494,     LH2,        1.007940,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        9.910,         5.090,          13.726,                  3771.4970 ,513,513,5,1,-1,36.257,28.521,0.565,0.194,0.207,0.325,0.308,0.269,0.195,0.197,490.360,490.360,4.779,0.956,nan,0.994,0.997,nan,nan,51766.40,100.783,nan,nan,nan,nan,1500000.000,110.160,297.0421,5049.7897,
16966,            2022-09-18 18:23:02,           2022-09-18 18:29:03,           heep_singles,         167.603,          361841,       10.5494,     LH2,        1.007940,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        12.844,         2.153,          5.805,                  52563.2440 ,513,17,-1,-1,-1,48.526,37.535,0.731,0.253,0.271,2.064,2.047,0.016,0.014,0.015,28.841,0.956,nan,nan,nan,0.990,0.994,305116.00,1820.471,nan,nan,nan,nan,nan,nan,1500000.000,110.160,297.0421,5049.7897,
16967,            2022-09-18 18:32:07,           2022-09-18 18:45:01,           heep_singles,         214.509,          710720,       10.5494,     LH2,        1.007940,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        10.123,         2.171,          5.855,                  58545.3420 ,513,9,-1,-1,-1,37.369,29.303,0.578,0.198,0.211,3.309,3.294,0.025,0.023,0.024,53.747,0.943,nan,nan,nan,0.995,0.996,342792.00,1598.033,nan,nan,nan,nan,nan,nan,1500000.000,110.160,297.0421,5049.7897,
16968,            2022-09-18 19:19:03,           2022-09-18 20:26:22,           heep_singles,         3587.096,          11870504,       10.5494,     LH2,        1.007940,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        10.013,         35.919,          96.853,                  63019.5690 ,513,9,-1,-1,-1,36.996,29.052,0.572,0.197,0.209,3.288,3.273,0.025,0.023,0.023,58.654,1.029,nan,nan,nan,0.994,0.996,6103638.00,1701.554,nan,nan,nan,nan,nan,nan,1500000.000,110.160,297.0421,5049.7897,
16973,            2022-09-18 21:10:40,           2022-09-18 21:41:44,           MF,         440.079,          314652,       10.5494,     LD2,        2.014102,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        26.908,         11.842,          36.905,                  1868.5620 ,-1,2049,33,1,-1,197.853,146.732,2.785,0.529,0.588,0.616,0.612,0.598,0.529,0.530,nan,1901.476,30.624,0.928,nan,0.994,0.989,nan,nan,nan,nan,68958.60,156.696,nan,nan,250000.000,144.000,448.7742,557.0730,
16975,            2022-09-18 22:54:33,           2022-09-18 23:43:59,           MF,         2259.055,          1564224,       10.5494,     LD2,        2.014102,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        27.270,         61.604,          191.988,                  1868.9890 ,-1,2049,33,1,-1,200.543,148.719,2.820,0.534,0.595,0.623,0.619,0.604,0.535,0.536,nan,1894.288,30.508,0.924,nan,0.994,0.989,nan,nan,nan,nan,358823.00,158.838,nan,nan,250000.000,144.000,448.7742,557.0730,
16976,            2022-09-19 00:02:35,           2022-09-19 00:31:31,           MF,         1458.313,          317173,       10.5494,     dummy,        2.014102,      1.8200,   -48.300,       8.5500,    8.300,        >5.00,        28.461,         41.505,          129.350,                  83.5450 ,-1,513,33,1,-1,52.716,41.251,2.633,0.046,0.055,0.132,0.131,0.126,0.047,0.047,nan,483.878,31.127,0.943,nan,0.994,0.995,nan,nan,nan,nan,10806.60,7.410,nan,nan,250000.000,144.000,448.7742,557.0730,
